,Base,Backtrans CH,Backtrans SP,Backtrans TU,Lexical Sub,Reordering,Sentence Reorder
Base,1.0,0.9761348,0.99028003,0.99292207,0.9327651,0.9860902,0.9780813
Backtrans CH,0.9761348,1.0000002,0.96911156,0.9712404,0.9122183,0.9670421,0.9817398
Backtrans SP,0.99028003,0.96911156,1.0,0.9898714,0.9369991,0.9775034,0.9756977
Backtrans TU,0.99292207,0.9712404,0.9898714,0.9999999,0.9309366,0.977553,0.9721323
Lexical Sub,0.9327651,0.9122183,0.9369991,0.9309366,1.0000005,0.9243616,0.94081116
Reordering,0.9860902,0.9670421,0.9775034,0.977553,0.9243616,1.0000002,0.968274
Sentence Reorder,0.9780813,0.9817398,0.9756977,0.9721323,0.94081116,0.968274,0.9999998
