,Base,Backtrans CH,Backtrans SP,Backtrans TU,Lexical Sub,Reordering,Sentence Reorder
Base,1.0000002,0.9223361,0.9013518,0.95961857,0.8981637,0.8232788,0.9299166
Backtrans CH,0.9223361,1.0,0.8379034,0.9444306,0.85366666,0.83451986,0.862157
Backtrans SP,0.9013518,0.8379034,0.99999976,0.88459766,0.7606646,0.79657805,0.84943914
Backtrans TU,0.95961857,0.9444306,0.88459766,1.0,0.8702581,0.8349529,0.89246964
Lexical Sub,0.8981637,0.85366666,0.7606646,0.8702581,1.0000002,0.7371186,0.8794448
Reordering,0.8232788,0.83451986,0.79657805,0.8349529,0.7371186,0.9999999,0.7911204
Sentence Reorder,0.9299166,0.862157,0.84943914,0.89246964,0.8794448,0.7911204,1.0000004
