,Base,Backtrans CH,Backtrans SP,Backtrans TU,Lexical Sub,Reordering,Sentence Reorder
Base,1.0000002,0.7513538,0.9064199,0.89409626,0.97764194,0.7375865,0.91822445
Backtrans CH,0.7513538,1.0,0.7239001,0.6929815,0.7671652,0.50553536,0.80342627
Backtrans SP,0.9064199,0.7239001,0.9999999,0.987916,0.88686496,0.6257875,0.76715606
Backtrans TU,0.89409626,0.6929815,0.987916,1.0000004,0.8738182,0.6211306,0.7332605
Lexical Sub,0.97764194,0.7671652,0.88686496,0.8738182,1.0,0.7228968,0.9353699
Reordering,0.7375865,0.50553536,0.6257875,0.6211306,0.7228968,1.0000002,0.67807555
Sentence Reorder,0.91822445,0.80342627,0.76715606,0.7332605,0.9353699,0.67807555,1.0
